,Row.names,logFC,logCPM,LR,PValue,FDR,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align,,
138,Solyc02g070060,-0.59839274,3.898214595,1.702141567,0.192008145,0.413238389,AT4G20860,NA,"FAD-binding domain-containing protein; similar to FAD-binding domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G44360.1); similar to FAD-linked oxidoreductase 1 [Glycine max] (GB:ABC41950.1); contains InterPro domain FAD linked oxidase, N-terminal; (InterPro:IPR006094); contains InterPro domain Berberine/berberine-like; (InterPro:IPR012951); contains InterPro domain Oxygen oxidoreductase covalent FAD-binding site; (InterPro:IPR006093)",57.11,464,3.00E-147,518,87.28652751,,
493,Solyc02g082290,-0.585212226,5.905175699,6.503669874,0.010765207,0.045434258,NA,NA,NA,NA,NA,NA,NA,NA,,
274,Solyc02g071690,-0.582503416,5.165038532,4.156074571,0.041485443,0.131575132,AT1G29670,NA,"GDSL-motif lipase/hydrolase family protein; similar to GDSL-motif lipase/hydrolase family protein [Arabidopsis thaliana] (TAIR:AT1G29660.1); similar to GDSL-lipase 1 [Capsicum annuum] (GB:AAZ23955.1); contains InterPro domain Lipolytic enzyme, G-D-S-L; (InterPro:IPR001087)",51.33,339,2.00E-95,346,91.184573,,
275,Solyc02g071700,-0.554005486,12.15229981,35.45014043,2.62E-09,9.35E-08,NA,NA,NA,NA,NA,NA,NA,NA,,
105,Solyc02g069680,-0.535137414,10.30208301,18.89421387,1.38E-05,0.000168318,AT5G44560,VPS2.2,SNF7 family protein; similar to SNF7 family protein [Arabidopsis thaliana] (TAIR:AT1G03950.1); similar to Os10g0476400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064848.1); similar to BRI1-KD interacting protein 109 [Oryza sativa (japonica cultivar-group)] (GB:BAD11337.1); similar to Os03g0639800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001050739.1); contains InterPro domain Snf7; (InterPro:IPR005024); contains InterPro domain Putative DNA binding; (InterPro:IPR009061),81.45,221,3.00E-87,317,96.86098655,,
192,Solyc02g070700,-0.53010901,4.333971575,1.690669385,0.193512753,0.413238389,NA,NA,NA,NA,NA,NA,NA,NA,,
390,Solyc02g081120,-0.525222541,9.343092562,24.69630141,6.71E-07,1.28E-05,NA,NA,NA,NA,NA,NA,NA,NA,,
182,Solyc02g070600,-0.513848983,7.17179759,10.15838929,0.001436461,0.009058152,NA,NA,NA,NA,NA,NA,NA,NA,,
76,Solyc02g069390,-0.511089749,6.286658478,5.642303297,0.01753216,0.067606027,NA,NA,NA,NA,NA,NA,NA,NA,,
224,Solyc02g071060,-0.507042911,5.953124877,5.043185189,0.024722992,0.087181077,AT4G18220,NA,"purine permease family protein; similar to ATPUP10 (Arabidopsis thaliana purine permease 10), purine transporter [Arabidopsis thaliana] (TAIR:AT4G18210.1); similar to Os02g0689200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047783.1); similar to putative purine permease [Oryza sativa (japonica cultivar-group)] (GB:BAD07671.1); contains InterPro domain Protein of unknown function DUF250; (InterPro:IPR004853)",51.41,319,8.00E-83,304,80.3030303,,
88,Solyc02g069510,-0.491331206,9.277617418,14.09716668,0.000173605,0.001500844,NA,NA,NA,NA,NA,NA,NA,NA,,
365,Solyc02g080770,-0.489017752,4.02146372,1.261828609,0.261305243,0.498432778,NA,NA,NA,NA,NA,NA,NA,NA,,
85,Solyc02g069480,-0.488025529,2.778755026,0.406456747,0.523773421,0.728113241,NA,NA,NA,NA,NA,NA,NA,NA,,
56,Solyc02g069140,-0.477391793,3.405150409,0.706161531,0.400721043,0.632215321,AT1G09620,NA,"ATP binding / aminoacyl-tRNA ligase; similar to EMB2369 (EMBRYO DEFECTIVE 2369), ATP binding / aminoacyl-tRNA ligase [Arabidopsis thaliana] (TAIR:AT4G04350.1); similar to Leucyl-tRNA synthetase (ISS) [Ostreococcus tauri] (GB:CAL51574.1); similar to PREDICTED: similar to Leucyl-tRNA synthetase, cytoplasmic (Leucine--tRNA ligase) (LeuRS) [Canis familiaris] (GB:XP_535229.1); similar to PREDICTED: similar to Leucyl-tRNA synthetase, cytoplasmic (Leucine--tRNA ligase) (LeuRS) [Gallus gallus] (GB:XP_414663.2); contains InterPro domain Aminoacyl-tRNA synthetase, class I; (InterPro:IPR001412); contains InterPro domain tRNA synthetase, valyl/leucyl, anticodon-binding; (InterPro:IPR013155); contains InterPro domain Leucyl-tRNA synthetase archae/euk cytosolic, class Ia; (InterPro:IPR004493); contains InterPro domain Aminoacyl-tRNA synthetase, class 1a, anticodon-binding; (InterPro:IPR009080)",67.43,1087,0,1469,99.80806142,,
448,Solyc02g081810,-0.460177173,13.03221112,19.71624865,8.98E-06,0.000114646,NA,NA,NA,NA,NA,NA,NA,NA,,
315,Solyc02g080160,-0.457684559,10.93900776,23.75429186,1.09E-06,1.83E-05,AT1G11545,XTH8,"xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative; Identical to Probable xyloglucan endotransglucosylase/hydrolase protein 8 precursor (EC 2.4.1.207) (At-XTH8) (XTH-8) (XTH8) [Arabidopsis Thaliana] (GB:Q8L9A9;GB:Q9LPY1); similar to xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative [Arabidopsis thaliana] (TAIR:AT4G37800.1); similar to xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative [Arabidopsis thaliana] (TAIR:AT5G65730.1); similar to putative endoxyloglucan transferase [Oryza sativa (japonica cultivar-group)] (GB:BAC45142.1); contains InterPro domain Beta-glucanase; (InterPro:IPR008264); contains InterPro domain Glycoside hydrolase, family 16, active site; (InterPro:IPR008263); contains InterPro domain Concanavalin A-like lectin/glucanase, subgroup; (InterPro:IPR013320); contains InterPro domain Concanavalin A-like lectin/glucanase; (InterPro:IPR008985); contains InterPro domain Glycoside hydrolase, family 16; (InterPro:IPR000757); contains InterPro domain Xyloglucan endo-transglycosylase, C-terminal; (InterPro:IPR010713)",63.18,296,2.00E-113,405,97.99331104,,
113,Solyc02g069770,-0.448217205,10.31280106,16.26333648,5.51E-05,0.000537172,NA,NA,NA,NA,NA,NA,NA,NA,,
326,Solyc02g080290,-0.439592593,7.79467015,8.276310149,0.004016567,0.020901746,AT4G21760,BGLU47,"BGLU47 (Beta-glucosidase 47); hydrolase, hydrolyzing O-glycosyl compounds; similar to BGLU45, hydrolase, hydrolyzing O-glycosyl compounds [Arabidopsis thaliana] (TAIR:AT1G61810.1); similar to Glycoside hydrolase, family 1 [Medicago truncatula] (GB:ABE77795.1); contains InterPro domain Glycoside hydrolase, family 1; (InterPro:IPR001360)",56.46,457,4.00E-160,561,87.14011516,,
317,Solyc02g080180,-0.439286941,6.335977681,4.34149897,0.037194164,0.120096818,AT1G61790,NA,OST3/OST6 family protein; similar to OST3/OST6 family protein [Arabidopsis thaliana] (TAIR:AT1G11560.1); similar to unknown [Brassica rapa] (GB:ABB97041.1); contains InterPro domain OST3/OST6; (InterPro:IPR006844),52.24,312,6.00E-78,287,90.08746356,,
163,Solyc02g070410,-0.425288646,2.892196418,0.359000841,0.549061667,0.739870218,NA,NA,NA,NA,NA,NA,NA,NA,,
79,Solyc02g069420,-0.424575816,5.597410621,3.169948471,0.075004813,0.208303521,AT1G72700,NA,"haloacid dehalogenase-like hydrolase family protein; Identical to Putative phospholipid-transporting ATPase 5 (EC 3.6.3.1) (Aminophospholipid flippase 5) (ALA5) [Arabidopsis Thaliana] (GB:Q9SGG3); similar to haloacid dehalogenase-like hydrolase family protein [Arabidopsis thaliana] (TAIR:AT1G17500.1); similar to haloacid dehalogenase-like hydrolase family protein [Arabidopsis thaliana] (TAIR:AT3G13900.1); similar to haloacid dehalogenase-like hydrolase family protein [Arabidopsis thaliana] (TAIR:AT1G54280.1); similar to ATPase, E1-E2 type [Medicago truncatula] (GB:ABE81304.1); similar to Putative phospholipid-transporting ATPase 4 (Aminophospholipid flippase 4) (GB:Q9LNQ4); similar to Putative phospholipid-transporting ATPase 7 (Aminophospholipid flippase 7) (GB:Q9LVK9); contains InterPro domain Phospholipid-translocating P-type ATPase, flippase; (InterPro:IPR006539); contains InterPro domain ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter; (InterPro:IPR001757); contains InterPro domain Haloacid dehalogenase-like hydrolase, type 3; (InterPro:IPR013200)",56.9,761,0,848,94.52736318,,
442,Solyc02g081680,-0.418310215,11.08370811,16.47679892,4.92E-05,0.000507644,AT2G18220,NA,"Identical to Nucleolar complex protein 2 homolog (Protein NOC2 homolog) [Arabidopsis Thaliana] (GB:Q9ZPV5); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G55510.1); similar to Os10g0495500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064951.1); similar to Uncharacterised protein family containing protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:AAP54429.2); similar to Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (GB:Q8LNU5); contains InterPro domain Protein of unknown function UPF0120; (InterPro:IPR005343)",63.06,620,0,759,82.15712383,,
314,Solyc02g080150,-0.414129448,8.351339862,10.96229675,0.000929845,0.006078011,NA,NA,NA,NA,NA,NA,NA,NA,,
45,Solyc02g069030,-0.409438761,8.770340855,15.10579084,0.000101651,0.000923473,NA,NA,NA,NA,NA,NA,NA,NA,,
319,Solyc02g080210,-0.403993597,3.953868117,0.822089636,0.364569913,0.600777736,AT1G11580,ATPMEPCRA,"pectin methylesterase, putative; similar to pectin methylesterase, putative [Arabidopsis thaliana] (TAIR:AT1G11590.1); similar to pectin methylesterase [Sesbania rostrata] (GB:CAD29733.1); contains InterPro domain Virulence factor, pectin lyase fold; (InterPro:IPR011050); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase; (InterPro:IPR000070); contains InterPro domain Pectinesterase inhibitor; (InterPro:IPR006501)",58.21,560,0,637,99.63436929,,
300,Solyc02g072010,-0.384020801,4.946835927,1.297264252,0.254713545,0.49184765,AT4G18840,NA,pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G74630.1); similar to Tetratricopeptide-like helical [Medicago truncatula] (GB:ABE79452.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990),50.6,251,6.00E-71,264,94.33962264,,
86,Solyc02g069490,-0.380352289,13.94517267,11.60254632,0.000658616,0.004644975,AT3G19820,CBB1,Involved in the conversion of the early brassinosteroid precursor  24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype.  DWF1 is a Ca2+-dependent calmodulin-binding protein.,75.74,544,0,888,93.62068966,,
207,Solyc02g070880,-0.37810401,9.665432024,16.60028677,4.61E-05,0.000494664,NA,NA,NA,NA,NA,NA,NA,NA,,
286,Solyc02g071820,-0.377752522,12.5312554,4.104328192,0.042773582,0.134073917,AT1G07650,NA,"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat family protein / protein kinase family protein [Arabidopsis thaliana] (TAIR:AT1G53430.1); similar to leucine-rich repeat family protein / protein kinase family protein [Arabidopsis thaliana] (TAIR:AT1G53440.1); similar to leucine-rich repeat family protein / protein kinase family protein [Arabidopsis thaliana] (TAIR:AT3G14840.2); similar to putative receptor-like protein kinase 2 [Glycine max] (GB:AAU10526.1); similar to SHR5-receptor-like kinase [Saccharum hybrid cultivar] (GB:AAY67902.1); similar to leucine-rich repeat-containing protein kinase family protein [Musa acuminata] (GB:ABF72026.1); contains InterPro domain Galactose mutarotase-like; (InterPro:IPR011013); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)",51.91,940,0,885,92.32323232,,
272,Solyc02g071650,-0.375456077,3.767292452,0.604264032,0.436955714,0.655885782,NA,NA,NA,NA,NA,NA,NA,NA,,
270,Solyc02g071620,-0.373837868,9.735729934,12.18408833,0.000481989,0.00358814,AT1G29670,NA,"GDSL-motif lipase/hydrolase family protein; similar to GDSL-motif lipase/hydrolase family protein [Arabidopsis thaliana] (TAIR:AT1G29660.1); similar to GDSL-lipase 1 [Capsicum annuum] (GB:AAZ23955.1); contains InterPro domain Lipolytic enzyme, G-D-S-L; (InterPro:IPR001087)",73.48,362,3.00E-154,541,97.81420765,,
362,Solyc02g080660,-0.373438621,11.57526342,16.91283461,3.91E-05,0.000428101,NA,NA,NA,NA,NA,NA,NA,NA,,
495,Solyc02g082310,-0.37238579,4.85409807,0.979802689,0.322247524,0.565102186,NA,NA,NA,NA,NA,NA,NA,NA,,
289,Solyc02g071870,-0.371532522,9.472035898,9.134308159,0.002508603,0.014304375,AT1G29750,RKF1,"Receptor-like serine/threonine kinase (RKF1). The putative extracellular domain of the RKF1 protein contains 13 tandem repeats of leucine-rich sequences. Expressed in early flower primordial, stamen, and pollen grains.",53.83,966,0,1050,95.58521561,,
455,Solyc02g081890,-0.368983594,5.256038229,1.909865679,0.16697818,0.387447206,NA,NA,NA,NA,NA,NA,NA,NA,,
464,Solyc02g081980,-0.368147254,12.27993619,13.95558394,0.000187181,0.00156764,AT5G18280,APY2,Encodes an enzyme with ATPase and ADPase activity (an apyrase) that when mutated in combination with ATAPY1 causes a complete inhibition of pollen germination.,53.87,401,2.00E-124,442,91.49425287,,
141,Solyc02g070100,-0.361903634,10.74741637,13.81809391,0.000201387,0.00163551,AT4G34910,NA,"DEAD/DEAH box helicase, putative (RH16); Identical to DEAD-box ATP-dependent RNA helicase 16 (EC 3.6.1.-) (RH16) [Arabidopsis Thaliana] (GB:Q9SW44;GB:Q9ZS05); similar to DEAD/DEAH box helicase, putative (RH10) [Arabidopsis thaliana] (TAIR:AT5G60990.1); similar to Os03g0728800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051149.1); similar to Helicase, C-terminal [Medicago truncatula] (GB:ABE86657.1); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650)",68.98,561,0,662,94.19795222,,
156,Solyc02g070340,-0.361577925,10.51355038,14.91678272,0.000112359,0.00100374,AT5G58420,NA,"40S ribosomal protein S4 (RPS4D); Identical to 40S ribosomal protein S4-1 (RPS4A) [Arabidopsis Thaliana] (GB:Q93VH9;GB:Q7XJS7); Identical to 40S ribosomal protein S4-3 (RPS4D) [Arabidopsis Thaliana] (GB:Q8VYK6;GB:Q944M1;GB:Q9FGI0); Identical to 40S ribosomal protein S4-2 (RPS4B) [Arabidopsis Thaliana] (GB:P49204;GB:Q42346;GB:Q9FL39;GB:Q9LYQ6); similar to 40S ribosomal protein S4 (RPS4B) [Arabidopsis thaliana] (TAIR:AT5G07090.1); similar to 40S ribosomal S4 protein [Glycine max] (GB:AAM93434.1); contains InterPro domain KOW (Kyrpides, Ouzounis, Woese) motif; (InterPro:IPR006646); contains InterPro domain RNA-binding S4; (InterPro:IPR002942); contains InterPro domain Ribosomal protein S4E; (InterPro:IPR000876); contains InterPro domain KOW; (InterPro:IPR005824)",90.08,262,7.00E-144,506,98.49056604,,
209,Solyc02g070900,-0.358971871,7.101000653,4.459707132,0.034703447,0.114116856,NA,NA,NA,NA,NA,NA,NA,NA,,
37,Solyc02g068910,-0.358381674,11.58446887,17.9579776,2.26E-05,0.000263148,AT5G45030,NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G12950.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G35155.1); similar to Os08g0407200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061775.1); similar to OSIGBa0126B18.9 [Oryza sativa (indica cultivar-group)] (GB:CAH66916.1); similar to OSJNBa0008M17.6 [Oryza sativa (japonica cultivar-group)] (GB:CAD41791.2); contains InterPro domain Peptidase, trypsin-like serine and cysteine; (InterPro:IPR009003)",70.57,598,0,744,99.30795848,,
316,Solyc02g080170,-0.356379481,7.097405756,5.232600805,0.022167362,0.079742994,NA,NA,NA,NA,NA,NA,NA,NA,,
123,Solyc02g069870,-0.353492812,3.879425738,0.614207082,0.433208152,0.652245982,NA,NA,NA,NA,NA,NA,NA,NA,,
374,Solyc02g080910,-0.352114939,4.025526141,0.619894916,0.431086338,0.652245982,NA,NA,NA,NA,NA,NA,NA,NA,,
465,Solyc02g081990,-0.348474206,6.073595816,2.252085695,0.133434449,0.331115113,AT5G04960,NA,"pectinesterase family protein; similar to pectinesterase family protein [Arabidopsis thaliana] (TAIR:AT3G10710.1); similar to Pectinesterase-3 precursor (Pectin methylesterase 3) (PE 3) (GB:Q43111); contains InterPro domain Virulence factor, pectin lyase fold; (InterPro:IPR011050); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase; (InterPro:IPR000070); contains InterPro domain Pectinesterase inhibitor; (InterPro:IPR006501)",53.02,547,4.00E-157,551,94.2206655,,
91,Solyc02g069540,-0.335025857,5.498600761,1.869281071,0.171557442,0.39141191,NA,NA,NA,NA,NA,NA,NA,NA,,
440,Solyc02g081660,-0.334677477,9.361290523,6.998343937,0.008158516,0.036747601,AT1G30960,NA,"GTP-binding protein (ERG); Identical to GTP-binding protein ERG (ERG) [Arabidopsis Thaliana] (GB:O82653); similar to GTP binding / RNA binding / nucleic acid binding [Arabidopsis thaliana] (TAIR:AT5G66470.1); similar to GTP-binding protein ERG (GB:O82626); contains InterPro domain GTP-binding protein, HSR1-related; (InterPro:IPR002917); contains InterPro domain Small GTP-binding protein domain; (InterPro:IPR005225); contains InterPro domain KH, type 2; (InterPro:IPR004044); contains InterPro domain GTP-binding protein Era; (InterPro:IPR005662)",60.36,444,4.00E-128,454,99.31972789,,
284,Solyc02g071800,-0.333502357,11.97203466,11.163394,0.000834272,0.005520612,NA,NA,NA,NA,NA,NA,NA,NA,,
273,Solyc02g071680,-0.328503549,5.061058534,1.042444129,0.307253713,0.554505017,NA,NA,NA,NA,NA,NA,NA,NA,,
120,Solyc02g069840,-0.327709738,9.782192201,13.17974598,0.000282991,0.002230636,AT1G16740,NA,"ribosomal protein L20 family protein; similar to Os01g0734100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044164.1); similar to 50S ribosomal protein L20 [Ehrlichia canis str. Jake] (GB:YP_302783.1); similar to Os05g0528200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056116.1); contains InterPro domain Ribosomal protein L20; (InterPro:IPR005813); contains InterPro domain Ribosomal protein L20, bacterial and organelle form; (InterPro:IPR005812)",82.26,124,4.00E-58,219,97.61904762,,
